trait_id	trait_display	display_rule	abbreviation_note
Phospholipids_to_total_lipids_ratio_in_large_HDL	Phospholipids/total lipids ratio in large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_to_total_lipids_ratio_in_large_LDL	Phospholipids/total lipids ratio in large low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_to_total_lipids_ratio_in_large_VLDL	Phospholipids/total lipids ratio in large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_to_total_lipids_ratio_in_medium_HDL	Phospholipids/total lipids ratio in medium high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_to_total_lipids_ratio_in_medium_LDL	Phospholipids/total lipids ratio in medium low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_to_total_lipids_ratio_in_medium_VLDL	Phospholipids/total lipids ratio in medium very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_to_total_lipids_ratio_in_small_HDL	Phospholipids/total lipids ratio in small high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_to_total_lipids_ratio_in_small_LDL	Phospholipids/total lipids ratio in small low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_to_total_lipids_ratio_in_small_VLDL	Phospholipids/total lipids ratio in small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_to_total_lipids_ratio_in_very_large_HDL	Phospholipids/total lipids ratio in very large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_to_total_lipids_ratio_in_very_large_VLDL	Phospholipids/total lipids ratio in very large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_to_total_lipids_ratio_in_very_small_VLDL	Phospholipids/total lipids ratio in very small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Polyunsaturated_fatty_acids	Polyunsaturated fatty acids	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Pyruvate	Pyruvate	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Ratio_of_linoleic_acid_to_total_fatty_acids	Linoleic acid/total fatty acids ratio	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids	Monounsaturated fatty acids/total fatty acids ratio	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Ratio_of_omega3_fatty_acids_to_total_fatty_acids	Omega-3 fatty acids/total fatty acids ratio	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Ratio_of_omega6_fatty_acids_to_omega3_fatty_acids	Omega-6 fatty acids/omega-3 fatty acids ratio	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Ratio_of_omega6_fatty_acids_to_total_fatty_acids	Omega-6 fatty acids/total fatty acids ratio	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Ratio_of_polyunsaturated_fatty_acids_to_monounsaturated_fatty_acids	Polyunsaturated fatty acids/monounsaturated fatty acids ratio	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Ratio_of_polyunsaturated_fatty_acids_to_total_fatty_acids	Polyunsaturated fatty acids/total fatty acids ratio	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Ratio_of_saturated_fatty_acids_to_total_fatty_acids	Saturated fatty acids/total fatty acids ratio	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Ratio_of_triglycerides_to_phosphoglycerides	Triglycerides/phosphoglycerides ratio	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Remnant_cholesterol_nonHDL_nonLDL_cholesterol	Remnant cholesterol (non-high-density lipoprotein, non-low-density lipoprotein cholesterol)	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Saturated_fatty_acids	Saturated fatty acids	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Sphingomyelins	Sphingomyelins	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_cholesterol	Total cholesterol	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_cholesterol_minus_HDLC	Total cholesterol minus high-density lipoprotein cholesterol	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_concentration_of_branchedchain_amino_acids_leucine_isoleucine_valine	Total branched-chain amino acids (leucine, isoleucine, and valine)	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_concentration_of_lipoprotein_particles	Total concentration of lipoprotein particles	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_esterified_cholesterol	Total esterified cholesterol	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_fatty_acids	Total fatty acids	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_free_cholesterol	Total free cholesterol	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_lipids_in_IDL	Total lipids in intermediate-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_lipids_in_LDL	Total lipids in low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_lipids_in_VLDL	Total lipids in very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_lipids_in_chylomicrons_and_extremely_large_VLDL	Total lipids in chylomicrons and extremely large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_lipids_in_large_HDL	Total lipids in large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_lipids_in_large_LDL	Total lipids in large low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_lipids_in_large_VLDL	Total lipids in large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_lipids_in_lipoprotein_particles	Total lipids in lipoprotein particles	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_lipids_in_medium_HDL	Total lipids in medium high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_lipids_in_medium_LDL	Total lipids in medium low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_lipids_in_medium_VLDL	Total lipids in medium very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_lipids_in_small_HDL	Total lipids in small high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_lipids_in_small_LDL	Total lipids in small low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_lipids_in_small_VLDL	Total lipids in small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_lipids_in_very_large_HDL	Total lipids in very large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_lipids_in_very_large_VLDL	Total lipids in very large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_lipids_in_very_small_VLDL	Total lipids in very small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_phospholipids_in_lipoprotein_particles	Total phospholipids in lipoprotein particles	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Total_triglycerides	Total triglycerides	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_in_IDL	Triglycerides in intermediate-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_in_LDL	Triglycerides in low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_in_VLDL	Triglycerides in very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_in_chylomicrons_and_extremely_large_VLDL	Triglycerides in chylomicrons and extremely large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_in_large_HDL	Triglycerides in large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_in_large_LDL	Triglycerides in large low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_in_large_VLDL	Triglycerides in large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_in_medium_HDL	Triglycerides in medium high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_in_medium_LDL	Triglycerides in medium low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_in_medium_VLDL	Triglycerides in medium very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_in_small_HDL	Triglycerides in small high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_in_small_LDL	Triglycerides in small low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_in_small_VLDL	Triglycerides in small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_in_very_large_HDL	Triglycerides in very large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_in_very_large_VLDL	Triglycerides in very large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_in_very_small_VLDL	Triglycerides in very small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_to_total_lipids_ratio_in_IDL	Triglycerides/total lipids ratio in intermediate-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	Triglycerides/total lipids ratio in chylomicrons and extremely large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_to_total_lipids_ratio_in_large_HDL	Triglycerides/total lipids ratio in large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_to_total_lipids_ratio_in_large_LDL	Triglycerides/total lipids ratio in large low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_to_total_lipids_ratio_in_large_VLDL	Triglycerides/total lipids ratio in large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_to_total_lipids_ratio_in_medium_HDL	Triglycerides/total lipids ratio in medium high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_to_total_lipids_ratio_in_medium_LDL	Triglycerides/total lipids ratio in medium low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_to_total_lipids_ratio_in_medium_VLDL	Triglycerides/total lipids ratio in medium very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_to_total_lipids_ratio_in_small_HDL	Triglycerides/total lipids ratio in small high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_to_total_lipids_ratio_in_small_LDL	Triglycerides/total lipids ratio in small low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_to_total_lipids_ratio_in_small_VLDL	Triglycerides/total lipids ratio in small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_to_total_lipids_ratio_in_very_large_HDL	Triglycerides/total lipids ratio in very large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_to_total_lipids_ratio_in_very_large_VLDL	Triglycerides/total lipids ratio in very large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Triglycerides_to_total_lipids_ratio_in_very_small_VLDL	Triglycerides/total lipids ratio in very small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Tyrosine	Tyrosine	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
VLDL_cholesterol	Very-low-density lipoprotein cholesterol	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Valine	Valine	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
bOHbutyrate	3-Hydroxybutyrate	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
